time,probe_a,probe_b
9.5999908e-01, 6.4903998e-01, 5.4777998e-01
9.6399689e-01, 9.1012001e-01, 5.9657997e-01
9.6800232e-01, 7.2345996e-01, 7.1491998e-01
9.7200012e-01, 3.9894000e-01, 7.4176002e-01
9.7599792e-01, 3.4525999e-01, 5.7705998e-01
9.8000336e-01, 2.2204000e-01, 6.5391999e-01
9.8400116e-01, 2.9157999e-01, 4.7702000e-01
9.8799896e-01, 1.3420000e-02, 2.9157999e-01
9.9199677e-01,-2.0130000e-01, 2.2081999e-01
9.9600220e-01,-1.3664000e-01, 1.0858000e-01
1.0000000e+00,-3.5135999e-01,-1.2200000e-02
1.0039978e+00,-5.0141996e-01,-2.2814000e-01
1.0080032e+00,-7.8201997e-01,-4.0138000e-01
1.0120010e+00,-5.8803999e-01,-6.1000001e-01
1.0159988e+00,-6.3440001e-01,-5.2094001e-01
1.0199966e+00,-7.4786001e-01,-6.2097996e-01
1.0240021e+00,-7.6616001e-01,-6.9540000e-01
1.0279999e+00,-4.0259999e-01,-7.4176002e-01
1.0319977e+00, 4.7580000e-02,-6.5270001e-01
1.0360031e+00, 4.5872000e-01,-4.6359998e-01
1.0400009e+00, 6.4537996e-01, 8.9060001e-02
1.0439987e+00, 7.4908000e-01, 4.2212000e-01
1.0479965e+00, 7.8811997e-01, 5.8925998e-01
1.0520020e+00, 5.3557998e-01, 6.6978002e-01
1.0559998e+00, 5.1484001e-01, 6.4050001e-01
1.0599976e+00, 4.9653998e-01, 6.2342000e-01
1.0640030e+00, 4.6726000e-01, 6.3195997e-01
1.0680008e+00, 3.9039999e-02, 5.2337998e-01
1.0719986e+00, 4.1479997e-02, 3.4037998e-01
1.0759964e+00, 1.3419999e-01, 2.6596001e-01
1.0800018e+00,-3.0012000e-01, 2.6229998e-01
1.0839996e+00,-3.1720001e-01,-9.5160000e-02
1.0879974e+00,-5.0996000e-01,-2.1472000e-01
1.0920029e+00,-5.6974000e-01,-4.0259999e-01
1.0960007e+00,-7.5029999e-01,-4.3919998e-01
1.0999985e+00,-8.3569998e-01,-6.9783998e-01
1.1039963e+00,-8.0031997e-01,-7.1613997e-01
1.1080017e+00,-6.3440001e-01,-6.3440001e-01
1.1119995e+00,-3.5257998e-01,-7.1003997e-01
1.1159973e+00,-3.5379998e-02,-7.2345996e-01
1.1200027e+00, 3.6477998e-01,-3.3550000e-01
1.1240005e+00, 6.4050001e-01,-2.6839999e-02
1.1279984e+00, 7.1003997e-01, 4.2578000e-01
1.1320038e+00, 6.4537996e-01, 6.1487997e-01
1.1360016e+00, 7.0393997e-01, 8.1251997e-01
1.1399994e+00, 6.4660001e-01, 7.1735996e-01
1.1439972e+00, 3.4525999e-01, 6.7953998e-01
1.1480026e+00, 5.2337998e-01, 6.3927996e-01
1.1520004e+00, 2.8182000e-01, 5.0507998e-01
1.1559982e+00, 8.2959995e-02, 2.6962000e-01
