time,probe_a,probe_b
6.7600000e-01, 5.2566719e-01, 5.6378365e-01
6.7800000e-01, 5.1642895e-01, 5.6961536e-01
6.8000000e-01, 5.0534153e-01, 5.7636642e-01
6.8200000e-01, 4.7885895e-01, 5.6746674e-01
6.8400000e-01, 4.6746445e-01, 5.7022858e-01
6.8600000e-01, 4.4529152e-01, 5.5948734e-01
6.8800000e-01, 4.1880894e-01, 5.4383564e-01
6.9000000e-01, 4.0094757e-01, 5.3125191e-01
6.9200000e-01, 3.7323189e-01, 5.1038265e-01
6.9400000e-01, 3.4551716e-01, 4.8736477e-01
6.9600000e-01, 3.2272911e-01, 4.7570133e-01
6.9800000e-01, 2.9285812e-01, 4.4961548e-01
7.0000000e-01, 2.6545048e-01, 4.3120098e-01
7.0200000e-01, 2.4574184e-01, 4.1339970e-01
7.0400000e-01, 2.1956635e-01, 3.8485813e-01
7.0600000e-01, 2.0078182e-01, 3.5754395e-01
7.0800000e-01, 1.8661499e-01, 3.3606052e-01
7.1000000e-01, 1.6813850e-01, 3.0751896e-01
7.1200000e-01, 1.5828419e-01, 2.8081703e-01
7.1400000e-01, 1.5151024e-01, 2.5442410e-01
7.1600000e-01, 1.4781475e-01, 2.3478222e-01
7.1800000e-01, 1.4781475e-01, 2.1698093e-01
7.2000000e-01, 1.4935398e-01, 1.9764614e-01
7.2200000e-01, 1.5982437e-01, 1.8966675e-01
7.2400000e-01, 1.6567516e-01, 1.8230152e-01
7.2600000e-01, 1.8476772e-01, 1.8629169e-01
7.2800000e-01, 2.0139790e-01, 1.9028091e-01
7.3000000e-01, 2.2202969e-01, 1.9641876e-01
7.3200000e-01, 2.4420166e-01, 2.1329880e-01
7.3400000e-01, 2.5128460e-01, 2.2281265e-01
7.3600000e-01, 2.6637459e-01, 2.4337578e-01
7.3800000e-01, 2.7345753e-01, 2.6271057e-01
7.4000000e-01, 2.7776814e-01, 2.7283764e-01
7.4200000e-01, 2.8515911e-01, 2.8664875e-01
7.4400000e-01, 2.7838421e-01, 2.9002476e-01
7.4600000e-01, 2.7653694e-01, 2.9585648e-01
7.4800000e-01, 2.7407360e-01, 2.9769802e-01
7.5000000e-01, 2.6729870e-01, 2.9370785e-01
7.5200000e-01, 2.5990772e-01, 2.9186726e-01
7.5400000e-01, 2.5590324e-01, 2.8879642e-01
7.5600000e-01, 2.4450970e-01, 2.7805519e-01
7.5800000e-01, 2.4512577e-01, 2.7467918e-01
7.6000000e-01, 2.4882126e-01, 2.7161026e-01
7.6200000e-01, 2.4204636e-01, 2.5933456e-01
7.6400000e-01, 2.4235439e-01, 2.5780010e-01
7.6600000e-01, 2.4820518e-01, 2.5687885e-01
7.6800000e-01, 2.4943638e-01, 2.5687885e-01
7.7000000e-01, 2.5651932e-01, 2.5933456e-01
7.7200000e-01, 2.4574184e-01, 2.4675179e-01
7.7400000e-01, 2.6852989e-01, 2.7068996e-01
7.7600000e-01, 2.6175594e-01, 2.6455212e-01
7.7800000e-01, 2.6637459e-01, 2.7007580e-01
7.8000000e-01, 2.6452732e-01, 2.7283764e-01
7.8200000e-01, 2.7160931e-01, 2.8235149e-01
7.8400000e-01, 2.7007008e-01, 2.8695583e-01
7.8600000e-01, 2.5436401e-01, 2.8235149e-01
